,,,,,,,,,,,,,
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/04/08,1,GST-QST Government remittance /GST/QST tax payments,,0.02,,,,,,1465.65
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/04/08,2,Government remittance /Qc. deductions at source,,269.08,,,,,,1196.57
CD ST-HENRI VILLE-EMARD,281211,PCA,2016/04/08,2,Government remittance /Federal source deductions,,91.71,,,,,,1104.86
CD SUD-OUEST DE MONTREAL,531211,PCA,2016/04/29,4,Cheque,42,787.92,,,,,,316.94
CD SUD-OUEST DE MONTREAL,531211,PCA,2016/04/29,5,Fixed service charges,,4.95,,,,,,311.99
