
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/04",00001,"Deposit on ATM /C.D.S. SAINT-PAUL","","",7999.96,"","","","",21790.45
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/09",00002,"Debit - Miscellaneous item","",7999.96,"","","","","",13790.49
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/10",00003,"Deposit at the counter /CAISSE CENTRALE DESJ.     ","","",12000.00,"","","","",25790.49
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/11",00004,"GST-QST Government remittance /GST/QST tax payments","",1123.13,"","","","","",24667.36
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/11",00005,"Government remittance /Qc. deductions at source","",179.36,"","","","","",24488.00
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/11",00006,"Government remittance /Federal source deductions","",61.14,"","","","","",24426.86
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/16",00007,"Deposit at the counter /CAISSE CENTRALE DESJ.     ","","",7999.96,"","","","",32426.82
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/24",00008,"Cheque",16,787.92,"","","","","",31638.90
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/29",00009,"Cheque",17,787.92,"","","","","",30850.98
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/31",00010,"Service charges","",2.50,"","","","","",30848.48
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/31",00011,"Fixed service charges","",4.95,"","","","","",30843.53
CD ST-HENRI VILLE-EMARD,"281211","PCA","2014/07/31",00012,"Charges - Commercial deposit","",0.20,"","","","","",30843.33

