
CD ST-HENRI VILLE-EMARD,"281211","PCA","2015/05/01",00001,"Cheque",28,787.92,"","","","","",20350.11
CD ST-HENRI VILLE-EMARD,"281211","PCA","2015/05/01",00002,"GST-QST Government remittance /GST/QST tax payments","",0.02,"","","","","",20350.09
CD ST-HENRI VILLE-EMARD,"281211","PCA","2015/05/07",00003,"Purchase /REVENU QUEBEC","",206.36,"","","","","",20143.73
CD ST-HENRI VILLE-EMARD,"281211","PCA","2015/05/20",00004,"Transfer - AccesD - Internet","",2340.68,"","","","","",17803.05
CD ST-HENRI VILLE-EMARD,"281211","PCA","2015/05/29",00005,"Fixed service charges","",4.95,"","","","","",17798.10

